User_Id,NAV_Category,IDV_Category,Owned,Parking_Space,Anti_Theft,Commute,Locality,DL_Suspended,State,makeId,modelId,makeName,modelName,usage,year,Price,Liability Coverage,Comp,Collision,Car Rental,Umbrella,PIP,Med,Gap
5,I,I,Yes,IN,No,Leisure,Rural,No,North Carolina,20064,21073,Hyundai,Entourage,New,2019,13767.0, '30/60/25',Comprehensive Coverage,,Car Rental I,,Personal Injury Protection,Med Pay,
6,I,I,Yes,OUT,Yes,Work,Rural,No,New York,20064,30263,Hyundai,GenesisCoupe,New,2019,13767.0, '25/50/10',,,,,Personal Injury Protection,Med Pay,
14,I,I,Yes,OUT,No,Leisure,Rural,No,New Mexico,20030,21466,Mitsubishi,Mirage,New,2017,12580.0, '25/50/10',Comprehensive Coverage,,Car Rental I,,,,
15,I,I,Yes,IN,No,Work,Rural,No,Colorado,20053,47275,Chevrolet,Spark,New,2019,14103.2314, '25/50/15',Comprehensive Coverage,,Car Rental I,,Personal Injury Protection,Med Pay,
16,I,I,Yes,IN,No,Leisure,Rural,No,Tennessee,20012,20991,Dodge,Dart,New,2016,14595.0, '25/50/10',Comprehensive Coverage,,Car Rental I,,Personal Injury Protection,Med Pay,
20,I,I,False,IN,No,Leisure,Urban,No,Kentucky,20012,20991,Dodge,Dart,New,2016,14595.0,,Comprehensive Coverage,Collision Coverage,Car Rental I,,Personal Injury Protection,Med Pay,'Gap Insurance'
33,I,I,Yes,OUT,No,Work,Rural,No,Wyoming,20064,30263,Hyundai,GenesisCoupe,New,2019,13767.0, '25/50/20',,,,,Personal Injury Protection,Med Pay,
37,I,I,Yes,IN,No,Leisure,Urban,No,Hawaii,20030,21466,Mitsubishi,Mirage,New,2017,12580.0,'20/40/10',Comprehensive Coverage,Collision Coverage,Car Rental I,,Personal Injury Protection,Med Pay,
44,I,I,Yes,IN,No,Work,Urban,Yes,Nevada,20064,30263,Hyundai,GenesisCoupe,New,2019,13767.0,'25/50/20[30]',Comprehensive Coverage,,,,Personal Injury Protection,Med Pay,
50,I,I,Yes,IN,No,Work,Rural,No,Oklahoma,20030,21466,Mitsubishi,Mirage,New,2018,14610.0, '25/50/25',Comprehensive Coverage,,Car Rental I,,Personal Injury Protection,Med Pay,
58,I,I,Yes,OUT,No,Leisure,Rural,No,Vermont,20053,47275,Chevrolet,Spark,New,2019,14103.2314, '25/50/10',Comprehensive Coverage,,Car Rental I,,Personal Injury Protection,Med Pay,
75,I,I,Yes,IN,No,Work,Rural,No,Hawaii,20030,21466,Mitsubishi,Mirage,New,2018,14610.0,'20/40/10',Comprehensive Coverage,,Car Rental I,,Personal Injury Protection,Med Pay,
82,I,I,Yes,OUT,No,Work,Rural,No,Rhode Island,20064,30263,Hyundai,GenesisCoupe,New,2019,13767.0, '25/50/25',,,,,,,
84,I,I,Yes,IN,No,Leisure,Rural,No,Tennessee,20030,21466,Mitsubishi,Mirage,New,2018,14610.0, '25/50/10',Comprehensive Coverage,,Car Rental I,,Personal Injury Protection,Med Pay,
85,I,I,Yes,IN,No,Leisure,Urban,No,South Carolina,20030,21466,Mitsubishi,Mirage,New,2017,12580.0, '25/50/25',Comprehensive Coverage,Collision Coverage,Car Rental I,,,,
89,I,I,Yes,IN,Yes,Leisure,Rural,No,Rhode Island,20053,47275,Chevrolet,Spark,New,2019,14103.2314, '25/50/25',Comprehensive Coverage,,Car Rental I,,,,
92,I,I,Yes,OUT,No,Work,Urban,No,Arkansas,20053,47275,Chevrolet,Spark,New,2019,14103.2314, '25/50/15',Comprehensive Coverage,Collision Coverage,Car Rental I,,,,
94,I,I,Yes,OUT,Yes,Leisure,Rural,No,New Hampshire,20064,22317,Hyundai,XG350,New,2019,13767.0,,Comprehensive Coverage,,Car Rental I,,,,
99,I,I,Yes,IN,No,Work,Urban,No,Minnesota,20030,21466,Mitsubishi,Mirage,New,2017,12580.0, '30/60/10',,,,,Personal Injury Protection,Med Pay,
110,I,I,Yes,IN,Yes,Leisure,Urban,No,Connecticut,20064,30263,Hyundai,GenesisCoupe,New,2019,13767.0, '25/50/25[23]',Comprehensive Coverage,Collision Coverage,Car Rental I,,Personal Injury Protection,Med Pay,
119,I,I,False,OUT,No,Work,Urban,No,Pennsylvania,20064,30263,Hyundai,GenesisCoupe,New,2019,13767.0, '15/30/5',,,,,Personal Injury Protection,Med Pay,'Gap Insurance'
122,I,I,Yes,IN,No,Work,Rural,No,Tennessee,20030,21466,Mitsubishi,Mirage,New,2018,14610.0, '25/50/10',Comprehensive Coverage,,Car Rental I,,Personal Injury Protection,Med Pay,
124,I,I,Yes,IN,Yes,Work,Rural,No,Iowa,20064,21073,Hyundai,Entourage,New,2019,13767.0, '20/40/15',,,,,Personal Injury Protection,Med Pay,
134,I,I,Yes,OUT,Yes,Work,Rural,No,Wyoming,20064,30263,Hyundai,GenesisCoupe,New,2019,13767.0, '25/50/20',,,,,Personal Injury Protection,Med Pay,
140,I,I,Yes,OUT,Yes,Work,Rural,No,Montana,20012,20991,Dodge,Dart,New,2016,14595.0, '25/50/10',Comprehensive Coverage,,Car Rental I,,Personal Injury Protection,Med Pay,
156,I,I,Yes,OUT,No,Leisure,Rural,No,Arkansas,20030,21466,Mitsubishi,Mirage,New,2018,14610.0, '25/50/15',Comprehensive Coverage,,Car Rental I,,,,
158,I,I,Yes,IN,No,Leisure,Urban,No,Massachusetts,20012,20991,Dodge,Dart,New,2016,14595.0, '20/40/5',Comprehensive Coverage,Collision Coverage,Car Rental I,,Personal Injury Protection,Med Pay,
159,I,I,Yes,IN,No,Leisure,Rural,No,Hawaii,20030,21466,Mitsubishi,Mirage,New,2018,14610.0,'20/40/10',Comprehensive Coverage,,Car Rental I,,Personal Injury Protection,Med Pay,
166,I,I,Yes,IN,No,Leisure,Urban,No,Delaware,20053,47275,Chevrolet,Spark,New,2019,14103.2314, '15/30/5',Comprehensive Coverage,Collision Coverage,Car Rental I,,Personal Injury Protection,Med Pay,
168,I,I,Yes,IN,Yes,Work,Rural,No,Montana,20030,21466,Mitsubishi,Mirage,New,2017,12580.0, '25/50/10',,,,,,,
176,I,I,Yes,IN,Yes,Leisure,Urban,Yes,Georgia,20053,47275,Chevrolet,Spark,New,2019,14103.2314, '25/50/25',Comprehensive Coverage,Collision Coverage,Car Rental I,,,,
177,I,I,Yes,OUT,No,Leisure,Urban,No,Alabama,20064,21073,Hyundai,Entourage,New,2019,13767.0, '25/50/25',Comprehensive Coverage,Collision Coverage,Car Rental I,,Personal Injury Protection,Med Pay,
189,I,I,Yes,OUT,No,Work,Urban,No,Nevada,20064,22317,Hyundai,XG350,New,2019,13767.0,'25/50/20[30]',,,,,Personal Injury Protection,Med Pay,
191,I,I,Yes,IN,No,Leisure,Urban,No,Florida,20012,20991,Dodge,Dart,New,2016,14595.0,,Comprehensive Coverage,Collision Coverage,Car Rental I,,Personal Injury Protection,Med Pay,
192,I,I,Yes,IN,No,Work,Urban,No,Maryland,20064,22317,Hyundai,XG350,New,2019,13767.0, '30/60/15\xa0[28]',,,,,Personal Injury Protection,Med Pay,
198,I,I,Yes,IN,No,Work,Urban,No,Connecticut,20012,20991,Dodge,Dart,New,2016,14595.0, '25/50/25[23]',Comprehensive Coverage,Collision Coverage,Car Rental I,,,,
203,I,I,Yes,OUT,No,Work,Urban,No,Alaska,20064,30263,Hyundai,GenesisCoupe,New,2019,13767.0, '50/100/25',,,,,,,
231,I,I,Yes,IN,No,Work,Urban,No,Nebraska,20053,47275,Chevrolet,Spark,New,2019,14103.2314, '25/50/25',Comprehensive Coverage,Collision Coverage,Car Rental I,,,,
232,I,I,Yes,OUT,No,Leisure,Rural,No,Wyoming,20064,22317,Hyundai,XG350,New,2019,13767.0, '25/50/20',Comprehensive Coverage,,Car Rental I,,,,
238,I,I,Yes,IN,Yes,Work,Urban,No,Nevada,20064,30263,Hyundai,GenesisCoupe,New,2019,13767.0,'25/50/20[30]',Comprehensive Coverage,Collision Coverage,Car Rental I,,,,
246,I,I,Yes,OUT,No,Work,Urban,No,Maryland,20030,21466,Mitsubishi,Mirage,New,2018,14610.0, '30/60/15\xa0[28]',Comprehensive Coverage,Collision Coverage,Car Rental I,,Personal Injury Protection,Med Pay,
251,I,I,Yes,OUT,Yes,Work,Rural,No,New Hampshire,20064,22317,Hyundai,XG350,New,2019,13767.0,,Comprehensive Coverage,,,,Personal Injury Protection,Med Pay,
262,I,I,Yes,OUT,No,Work,Urban,No,Missouri,20064,30263,Hyundai,GenesisCoupe,New,2019,13767.0, '25/50/10',,,,,Personal Injury Protection,Med Pay,
263,I,I,Yes,OUT,Yes,Leisure,Rural,No,Washington,20030,21466,Mitsubishi,Mirage,New,2018,14610.0, '25/50/10',Comprehensive Coverage,,Car Rental I,,,,
278,I,I,Yes,IN,No,Leisure,Rural,No,Maine,20012,20991,Dodge,Dart,New,2016,14595.0, '50/100/25',Comprehensive Coverage,,Car Rental I,,,,
285,I,I,Yes,IN,No,Work,Urban,No,New Hampshire,20064,30263,Hyundai,GenesisCoupe,New,2019,13767.0,,Comprehensive Coverage,Collision Coverage,Car Rental I,,Personal Injury Protection,Med Pay,
289,I,I,Yes,IN,Yes,Work,Urban,No,Missouri,20064,22317,Hyundai,XG350,New,2019,13767.0, '25/50/10',Comprehensive Coverage,Collision Coverage,Car Rental I,,Personal Injury Protection,Med Pay,
292,I,I,Yes,IN,No,Work,Rural,Yes,Mississippi,20053,47275,Chevrolet,Spark,New,2019,14103.2314, '25/50/25',Comprehensive Coverage,,Car Rental I,,,,
304,I,I,Yes,OUT,Yes,Leisure,Rural,No,California,20064,30263,Hyundai,GenesisCoupe,New,2019,13767.0, '15/30/5',Comprehensive Coverage,,Car Rental I,,Personal Injury Protection,Med Pay,
309,I,I,Yes,IN,Yes,Work,Urban,No,Tennessee,20064,30263,Hyundai,GenesisCoupe,New,2019,13767.0, '25/50/10',,,,,Personal Injury Protection,Med Pay,
312,I,I,Yes,OUT,Yes,Leisure,Urban,No,Idaho,20064,21073,Hyundai,Entourage,New,2019,13767.0, '25/50/15[24]',Comprehensive Coverage,Collision Coverage,Car Rental I,,Personal Injury Protection,Med Pay,
315,I,I,Yes,IN,No,Leisure,Rural,No,Texas,20012,20991,Dodge,Dart,New,2016,14595.0, '30/60/25',Comprehensive Coverage,,Car Rental I,,Personal Injury Protection,Med Pay,
320,I,I,Yes,OUT,No,Work,Rural,No,Oregon,20064,30263,Hyundai,GenesisCoupe,New,2019,13767.0, '25/50/20',,,,,Personal Injury Protection,Med Pay,
331,I,I,Yes,OUT,No,Leisure,Rural,No,Oklahoma,20064,22317,Hyundai,XG350,New,2019,13767.0, '25/50/25',Comprehensive Coverage,,Car Rental I,,,,
332,I,I,Yes,IN,No,Leisure,Urban,No,Oregon,20064,30263,Hyundai,GenesisCoupe,New,2019,13767.0, '25/50/20',Comprehensive Coverage,Collision Coverage,Car Rental I,,Personal Injury Protection,Med Pay,
334,I,I,Yes,OUT,No,Work,Urban,No,New Jersey,20064,30263,Hyundai,GenesisCoupe,New,2019,13767.0, '0/0/5',,,,,Personal Injury Protection,Med Pay,
335,I,I,Yes,OUT,No,Leisure,Urban,No,North Dakota,20053,47275,Chevrolet,Spark,New,2019,14103.2314, '25/50/25',Comprehensive Coverage,Collision Coverage,Car Rental I,,Personal Injury Protection,Med Pay,
346,I,I,Yes,OUT,Yes,Leisure,Urban,No,North Carolina,20030,21466,Mitsubishi,Mirage,New,2017,12580.0, '30/60/25',Comprehensive Coverage,Collision Coverage,Car Rental I,,,,
347,I,I,Yes,IN,No,Leisure,Urban,No,Arizona,20064,21073,Hyundai,Entourage,New,2019,13767.0, '15/30/10',Comprehensive Coverage,Collision Coverage,Car Rental I,,,,
348,I,I,Yes,OUT,No,Work,Urban,No,Minnesota,20030,21466,Mitsubishi,Mirage,New,2017,12580.0, '30/60/10',,,,,Personal Injury Protection,Med Pay,
350,I,I,Yes,IN,No,Work,Urban,No,Mississippi,20064,30263,Hyundai,GenesisCoupe,New,2019,13767.0, '25/50/25',,,,,,,
357,I,I,Yes,IN,No,Work,Urban,No,Nevada,20030,21466,Mitsubishi,Mirage,New,2017,12580.0,'25/50/20[30]',,,,,Personal Injury Protection,Med Pay,
366,I,I,Yes,OUT,No,Work,Rural,No,Indiana,20064,30263,Hyundai,GenesisCoupe,New,2019,13767.0, '25/50/25[26]',,,,,Personal Injury Protection,Med Pay,
368,I,I,Yes,OUT,No,Work,Rural,No,Missouri,20030,21466,Mitsubishi,Mirage,New,2018,14610.0, '25/50/10',Comprehensive Coverage,,Car Rental I,,,,
375,I,I,Yes,IN,No,Work,Rural,No,Minnesota,20064,21073,Hyundai,Entourage,New,2019,13767.0, '30/60/10',,,,,Personal Injury Protection,Med Pay,
379,I,I,Yes,OUT,Yes,Work,Rural,No,Wisconsin,20053,47275,Chevrolet,Spark,New,2019,14103.2314, '25/50/10',Comprehensive Coverage,,Car Rental I,,,,
386,I,I,Yes,IN,No,Work,Urban,No,West Virginia,20064,22317,Hyundai,XG350,New,2019,13767.0,'20/40/10',,,,,,,
395,I,I,Yes,OUT,No,Work,Rural,No,North Carolina,20053,47275,Chevrolet,Spark,New,2019,14103.2314, '30/60/25',Comprehensive Coverage,,Car Rental I,,,,
401,I,I,Yes,IN,Yes,Leisure,Rural,No,Kentucky,20053,47275,Chevrolet,Spark,New,2019,14103.2314, '25/50/25[27]',Comprehensive Coverage,,Car Rental I,,Personal Injury Protection,Med Pay,
402,I,I,Yes,OUT,No,Leisure,Urban,No,Arkansas,20030,21466,Mitsubishi,Mirage,New,2018,14610.0, '25/50/15',Comprehensive Coverage,Collision Coverage,Car Rental I,,Personal Injury Protection,Med Pay,
408,I,I,Yes,IN,No,Work,Urban,No,Wyoming,20030,21466,Mitsubishi,Mirage,New,2018,14610.0, '25/50/20',Comprehensive Coverage,Collision Coverage,Car Rental I,,,,
420,I,I,Yes,IN,No,Work,Rural,No,Virginia,20064,30263,Hyundai,GenesisCoupe,New,2019,13767.0, '25/50/20',,Collision Coverage,,,Personal Injury Protection,Med Pay,
423,I,I,Yes,IN,No,Leisure,Urban,No,Virginia,20053,47275,Chevrolet,Spark,New,2019,14103.2314, '25/50/20',Comprehensive Coverage,Collision Coverage,Car Rental I,,,,
424,I,I,Yes,OUT,No,Work,Rural,No,Ohio,20012,20991,Dodge,Dart,New,2016,14595.0, '20/50/25',Comprehensive Coverage,,Car Rental I,,Personal Injury Protection,Med Pay,
434,I,I,Yes,IN,Yes,Leisure,Rural,No,Wyoming,20012,20991,Dodge,Dart,New,2016,14595.0, '25/50/20',Comprehensive Coverage,,Car Rental I,,Personal Injury Protection,Med Pay,
441,I,I,Yes,OUT,Yes,Leisure,Rural,No,Missouri,20064,30263,Hyundai,GenesisCoupe,New,2019,13767.0, '25/50/10',Comprehensive Coverage,,Car Rental I,,,,
443,I,I,Yes,OUT,No,Leisure,Urban,No,South Dakota,20012,20991,Dodge,Dart,New,2016,14595.0, '25/50/25',Comprehensive Coverage,Collision Coverage,Car Rental I,,Personal Injury Protection,Med Pay,
452,I,I,Yes,IN,No,Leisure,Urban,No,Wyoming,20064,22317,Hyundai,XG350,New,2019,13767.0, '25/50/20',Comprehensive Coverage,Collision Coverage,Car Rental I,,Personal Injury Protection,Med Pay,
463,I,I,Yes,OUT,No,Work,Urban,No,Alaska,20030,21466,Mitsubishi,Mirage,New,2017,12580.0, '50/100/25',,,,,,,
465,I,I,Yes,IN,No,Work,Rural,No,Kansas,20030,21466,Mitsubishi,Mirage,New,2017,12580.0, '25/50/10',,,,,Personal Injury Protection,Med Pay,
469,I,I,Yes,OUT,Yes,Work,Rural,No,Michigan,20064,22317,Hyundai,XG350,New,2019,13767.0,'20/40/10',,,,,Personal Injury Protection,Med Pay,
473,I,I,False,OUT,No,Work,Urban,No,Alabama,20064,30263,Hyundai,GenesisCoupe,New,2019,13767.0, '25/50/25',,,,,,,'Gap Insurance'
481,I,I,Yes,IN,No,Leisure,Rural,No,Washington,20030,21466,Mitsubishi,Mirage,New,2017,12580.0, '25/50/10',Comprehensive Coverage,,Car Rental I,,,,
482,I,I,Yes,OUT,No,Work,Urban,No,Pennsylvania,20064,30263,Hyundai,GenesisCoupe,New,2019,13767.0, '15/30/5',,,,,Personal Injury Protection,Med Pay,
489,I,I,Yes,IN,No,Work,Rural,No,Indiana,20053,47275,Chevrolet,Spark,New,2019,14103.2314, '25/50/25[26]',Comprehensive Coverage,,Car Rental I,,Personal Injury Protection,Med Pay,
504,I,I,Yes,IN,No,Work,Rural,No,Missouri,20053,47275,Chevrolet,Spark,New,2019,14103.2314, '25/50/10',Comprehensive Coverage,,Car Rental I,,Personal Injury Protection,Med Pay,
505,I,I,Yes,IN,Yes,Leisure,Rural,No,Kansas,20053,47275,Chevrolet,Spark,New,2019,14103.2314, '25/50/10',Comprehensive Coverage,,Car Rental I,,Personal Injury Protection,Med Pay,
508,I,I,Yes,OUT,Yes,Leisure,Rural,Yes,Washington,20030,21466,Mitsubishi,Mirage,New,2017,12580.0, '25/50/10',Comprehensive Coverage,,Car Rental I,,,,
512,I,I,Yes,IN,Yes,Leisure,Rural,No,North Carolina,20064,21073,Hyundai,Entourage,New,2019,13767.0, '30/60/25',Comprehensive Coverage,,Car Rental I,,Personal Injury Protection,Med Pay,
518,I,I,Yes,OUT,No,Leisure,Urban,No,Georgia,20064,22317,Hyundai,XG350,New,2019,13767.0, '25/50/25',Comprehensive Coverage,Collision Coverage,Car Rental I,,,,
519,I,I,Yes,IN,No,Work,Urban,No,New Mexico,20064,30263,Hyundai,GenesisCoupe,New,2019,13767.0, '25/50/10',,,,,Personal Injury Protection,Med Pay,
524,I,I,Yes,IN,No,Leisure,Rural,No,South Dakota,20064,22317,Hyundai,XG350,New,2019,13767.0, '25/50/25',Comprehensive Coverage,,Car Rental I,,Personal Injury Protection,Med Pay,
526,I,I,Yes,OUT,Yes,Work,Rural,No,Arkansas,20053,47275,Chevrolet,Spark,New,2019,14103.2314, '25/50/15',Comprehensive Coverage,,Car Rental I,,,,
533,I,I,Yes,IN,Yes,Work,Rural,No,New York,20030,21466,Mitsubishi,Mirage,New,2018,14610.0, '25/50/10',Comprehensive Coverage,,Car Rental I,,Personal Injury Protection,Med Pay,
540,I,I,Yes,OUT,No,Work,Urban,No,West Virginia,20064,22317,Hyundai,XG350,New,2019,13767.0,'20/40/10',Comprehensive Coverage,,,,Personal Injury Protection,Med Pay,
545,I,I,Yes,OUT,Yes,Leisure,Rural,No,Mississippi,20030,21466,Mitsubishi,Mirage,New,2018,14610.0, '25/50/25',Comprehensive Coverage,,Car Rental I,,,,
547,I,I,Yes,OUT,No,Work,Urban,No,Virginia,20030,21466,Mitsubishi,Mirage,New,2018,14610.0, '25/50/20',Comprehensive Coverage,Collision Coverage,Car Rental I,,Personal Injury Protection,Med Pay,
553,I,I,Yes,IN,No,Leisure,Rural,No,Nebraska,20030,21466,Mitsubishi,Mirage,New,2018,14610.0, '25/50/25',Comprehensive Coverage,,Car Rental I,,,,
556,I,I,Yes,OUT,Yes,Work,Urban,No,Oregon,20030,21466,Mitsubishi,Mirage,New,2017,12580.0, '25/50/20',,,,,Personal Injury Protection,Med Pay,
561,I,I,Yes,OUT,No,Leisure,Urban,No,Illinois,20064,22317,Hyundai,XG350,New,2019,13767.0,'20/40/15[25]',Comprehensive Coverage,Collision Coverage,Car Rental I,,,,
566,I,I,Yes,OUT,No,Leisure,Urban,No,Michigan,20064,21073,Hyundai,Entourage,New,2019,13767.0,'20/40/10',Comprehensive Coverage,Collision Coverage,Car Rental I,,Personal Injury Protection,Med Pay,
567,I,I,False,OUT,No,Work,Urban,No,Georgia,20030,21466,Mitsubishi,Mirage,New,2017,12580.0, '25/50/25',,,,,,,'Gap Insurance'
569,I,I,Yes,IN,No,Leisure,Rural,No,New Jersey,20064,22317,Hyundai,XG350,New,2019,13767.0, '0/0/5',Comprehensive Coverage,,Car Rental I,,Personal Injury Protection,Med Pay,
571,I,I,False,OUT,Yes,Leisure,Rural,No,Tennessee,20053,47275,Chevrolet,Spark,New,2019,14103.2314, '25/50/10',Comprehensive Coverage,,Car Rental I,,,,'Gap Insurance'
573,I,I,Yes,OUT,No,Leisure,Urban,No,California,20064,21073,Hyundai,Entourage,New,2019,13767.0, '15/30/5',Comprehensive Coverage,Collision Coverage,Car Rental I,,,,
579,I,I,Yes,IN,Yes,Leisure,Urban,No,Montana,20064,21073,Hyundai,Entourage,New,2019,13767.0, '25/50/10',Comprehensive Coverage,Collision Coverage,Car Rental I,,Personal Injury Protection,Med Pay,
587,I,I,Yes,OUT,No,Work,Rural,No,Washington,20064,21073,Hyundai,Entourage,New,2019,13767.0, '25/50/10',,,,,Personal Injury Protection,Med Pay,
590,I,I,Yes,IN,No,Leisure,Urban,No,New York,20053,47275,Chevrolet,Spark,New,2019,14103.2314, '25/50/10',Comprehensive Coverage,,Car Rental I,,Personal Injury Protection,Med Pay,
593,I,I,Yes,OUT,No,Work,Urban,No,Maryland,20053,47275,Chevrolet,Spark,New,2019,14103.2314, '30/60/15\xa0[28]',Comprehensive Coverage,Collision Coverage,Car Rental I,,Personal Injury Protection,Med Pay,
596,I,I,False,OUT,No,Work,Rural,No,Michigan,20030,21466,Mitsubishi,Mirage,New,2018,14610.0,'20/40/10',Comprehensive Coverage,,Car Rental I,,Personal Injury Protection,Med Pay,'Gap Insurance'
609,I,I,Yes,OUT,No,Leisure,Rural,No,Louisiana,20030,21466,Mitsubishi,Mirage,New,2017,12580.0, '15/30/25',Comprehensive Coverage,,Car Rental I,,,,
612,I,I,Yes,IN,Yes,Leisure,Urban,No,South Dakota,20053,47275,Chevrolet,Spark,New,2019,14103.2314, '25/50/25',Comprehensive Coverage,Collision Coverage,Car Rental I,,Personal Injury Protection,Med Pay,
616,I,I,Yes,IN,No,Work,Urban,No,Indiana,20064,21073,Hyundai,Entourage,New,2019,13767.0, '25/50/25[26]',,,,,Personal Injury Protection,Med Pay,
619,I,I,Yes,IN,No,Leisure,Rural,No,West Virginia,20064,30263,Hyundai,GenesisCoupe,New,2019,13767.0,'20/40/10',Comprehensive Coverage,,Car Rental I,,,,
621,I,I,Yes,IN,No,Work,Urban,No,South Dakota,20064,22317,Hyundai,XG350,New,2019,13767.0, '25/50/25',,,,,,,
624,I,I,Yes,IN,No,Work,Urban,No,Maryland,20064,22317,Hyundai,XG350,New,2019,13767.0, '30/60/15\xa0[28]',,,,,,,
627,I,I,Yes,OUT,Yes,Work,Rural,No,West Virginia,20053,47275,Chevrolet,Spark,New,2019,14103.2314,'20/40/10',Comprehensive Coverage,,Car Rental I,,Personal Injury Protection,Med Pay,
629,I,I,Yes,IN,No,Work,Urban,No,Georgia,20064,30263,Hyundai,GenesisCoupe,New,2019,13767.0, '25/50/25',,,,,Personal Injury Protection,Med Pay,
631,I,I,Yes,OUT,No,Leisure,Rural,No,Michigan,20053,47275,Chevrolet,Spark,New,2019,14103.2314,'20/40/10',Comprehensive Coverage,,Car Rental I,,Personal Injury Protection,Med Pay,
636,I,I,Yes,IN,No,Leisure,Rural,No,South Dakota,20030,21466,Mitsubishi,Mirage,New,2017,12580.0, '25/50/25',Comprehensive Coverage,,Car Rental I,,,,
643,I,I,Yes,IN,No,Leisure,Urban,No,New Jersey,20012,20991,Dodge,Dart,New,2016,14595.0, '0/0/5',Comprehensive Coverage,Collision Coverage,Car Rental I,,Personal Injury Protection,Med Pay,
644,I,I,Yes,IN,No,Leisure,Urban,No,Arkansas,20064,21073,Hyundai,Entourage,New,2019,13767.0, '25/50/15',Comprehensive Coverage,Collision Coverage,Car Rental I,,,,
649,I,I,Yes,IN,No,Work,Rural,No,Delaware,20053,47275,Chevrolet,Spark,New,2019,14103.2314, '15/30/5',Comprehensive Coverage,,Car Rental I,,Personal Injury Protection,Med Pay,
650,I,I,Yes,IN,No,Leisure,Urban,No,Nebraska,20030,21466,Mitsubishi,Mirage,New,2017,12580.0, '25/50/25',Comprehensive Coverage,Collision Coverage,Car Rental I,,,,
662,I,I,Yes,IN,No,Work,Urban,No,Washington,20053,47275,Chevrolet,Spark,New,2019,14103.2314, '25/50/10',Comprehensive Coverage,Collision Coverage,Car Rental I,,,,
663,I,I,False,OUT,No,Work,Rural,No,Massachusetts,20030,21466,Mitsubishi,Mirage,New,2018,14610.0, '20/40/5',Comprehensive Coverage,,Car Rental I,,Personal Injury Protection,Med Pay,'Gap Insurance'
667,I,I,Yes,IN,Yes,Leisure,Urban,Yes,Tennessee,20012,20991,Dodge,Dart,New,2016,14595.0, '25/50/10',Comprehensive Coverage,Collision Coverage,Car Rental I,,,,
676,I,I,Yes,IN,Yes,Leisure,Rural,No,Oklahoma,20030,21466,Mitsubishi,Mirage,New,2018,14610.0, '25/50/25',Comprehensive Coverage,,Car Rental I,,Personal Injury Protection,Med Pay,
682,I,I,Yes,IN,No,Work,Urban,No,West Virginia,20053,47275,Chevrolet,Spark,New,2019,14103.2314,'20/40/10',Comprehensive Coverage,Collision Coverage,Car Rental I,,Personal Injury Protection,Med Pay,
